"V1" "V2"
"542" 544 "fBodyBodyGyroJerkMag-mean()"
"543" 545 "fBodyBodyGyroJerkMag-std()"
"544" 546 "fBodyBodyGyroJerkMag-mad()"
"545" 547 "fBodyBodyGyroJerkMag-max()"
"546" 548 "fBodyBodyGyroJerkMag-min()"
"547" 549 "fBodyBodyGyroJerkMag-sma()"
"548" 550 "fBodyBodyGyroJerkMag-energy()"
"549" 551 "fBodyBodyGyroJerkMag-iqr()"
"550" 552 "fBodyBodyGyroJerkMag-entropy()"
"551" 553 "fBodyBodyGyroJerkMag-maxInds"
"552" 554 "fBodyBodyGyroJerkMag-meanFreq()"
"553" 555 "fBodyBodyGyroJerkMag-skewness()"
"554" 556 "fBodyBodyGyroJerkMag-kurtosis()"
"555" 557 "angle(tBodyAccMean,gravity)"
"556" 558 "angle(tBodyAccJerkMean),gravityMean)"
"557" 559 "angle(tBodyGyroMean,gravityMean)"
"558" 560 "angle(tBodyGyroJerkMean,gravityMean)"
"559" 561 "angle(X,gravityMean)"
"560" 562 "angle(Y,gravityMean)"
"561" 563 "angle(Z,gravityMean)"
